slot,ip,status,Auth,Lic,Usr,Net,IPMI,ID,LDAP,Cert,Boot,Reboot,bootstrap_ok,ribcl_seconds,redfish_seconds,errors
1,10.101.18.13,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,False,24.70299999999952,0.0,[Bootstrap] 0X0007: Cannot add user.  The login/ user name already exists
2,10.101.18.14,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,False,22.40600000000086,0.0,[Bootstrap] 0X0007: Cannot add user.  The login/ user name already exists
3,10.101.18.15,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,False,24.32799999999952,0.0,[Bootstrap] 0X0007: Cannot add user.  The login/ user name already exists
4,10.101.18.16,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,False,20.625,0.0,[Bootstrap] 0X0007: Cannot add user.  The login/ user name already exists
5,10.101.18.17,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,False,16.64099999999962,0.0,[Bootstrap] 0X0007: Cannot add user.  The login/ user name already exists
6,10.101.18.18,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,False,16.5,0.0,[Bootstrap] 0X0007: Cannot add user.  The login/ user name already exists
7,10.101.18.19,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,False,17.563000000000102,0.0,[Bootstrap] 0X0007: Cannot add user.  The login/ user name already exists
8,10.101.18.20,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,False,18.311999999999898,0.0,[Bootstrap] 0X0007: Cannot add user.  The login/ user name already exists
9,10.101.18.21,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,False,20.53100000000086,0.0,[Bootstrap] 0X0007: Cannot add user.  The login/ user name already exists
10,10.101.18.22,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,False,16.25,0.0,[Bootstrap] 0X0007: Cannot add user.  The login/ user name already exists
11,10.101.18.23,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,False,19.218000000000757,0.0,[Bootstrap] 0X0007: Cannot add user.  The login/ user name already exists
12,10.101.18.24,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,False,18.860000000000582,0.0,[Bootstrap] 0X0007: Cannot add user.  The login/ user name already exists
13,10.101.18.25,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,False,18.061999999999898,0.0,[Bootstrap] 0X0007: Cannot add user.  The login/ user name already exists
14,10.101.18.26,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,False,15.57799999999952,0.0,[Bootstrap] 0X0007: Cannot add user.  The login/ user name already exists
15,10.101.18.27,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,False,16.59399999999914,0.0,[Bootstrap] 0X0007: Cannot add user.  The login/ user name already exists
16,10.101.18.28,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,False,18.186999999999898,0.0,[Bootstrap] 0X0007: Cannot add user.  The login/ user name already exists
