slot,ip,status,Auth,Lic,Usr,Net,IPMI,ID,LDAP,Cert,Boot,Reboot,bootstrap_ok,ribcl_seconds,redfish_seconds,errors
1,10.101.18.13,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,23.235000000000582,25.842999999999847,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
2,10.101.18.14,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,20.64099999999962,25.75,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
3,10.101.18.15,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,21.0,25.561999999999898,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
4,10.101.18.16,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,21.125,25.57799999999952,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
5,10.101.18.17,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,19.889999999999418,25.57799999999952,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
6,10.101.18.18,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,19.26600000000053,25.65599999999995,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
7,10.101.18.19,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,19.82799999999952,25.561999999999898,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
8,10.101.18.20,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,19.82800000000043,25.717999999999847,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
9,10.101.18.21,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,18.54700000000048,25.42199999999957,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
10,10.101.18.22,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,16.936999999999898,25.5,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
11,10.101.18.23,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,18.561999999999898,25.53099999999995,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
