slot,ip,status,Auth,Lic,Usr,Net,IPMI,ID,LDAP,Cert,Boot,Reboot,bootstrap_ok,ribcl_seconds,redfish_seconds,errors
1,10.101.18.13,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,25.29699999999957,25.78099999999995,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
2,10.101.18.14,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,23.063000000000102,25.764999999999418,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
3,10.101.18.15,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,22.313000000000102,25.717999999999847,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
4,10.101.18.16,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,23.75,25.85899999999947,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
5,10.101.18.17,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,18.186999999999898,26.217999999999847,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
6,10.101.18.18,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,18.875,25.65599999999995,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
7,10.101.18.19,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,18.04699999999957,25.76600000000053,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
8,10.101.18.20,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,17.938000000000102,25.875,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
9,10.101.18.21,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,20.21900000000005,26.75,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
10,10.101.18.22,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,19.53099999999995,25.735000000000582,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
