slot,ip,status,Auth,Lic,Usr,Net,IPMI,ID,LDAP,Cert,Boot,Reboot,bootstrap_ok,ribcl_seconds,redfish_seconds,errors
1,10.101.18.37,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,33.3119999999999,28.141000000000076,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
2,10.101.18.38,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,33.891000000000076,27.062000000000126,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
3,10.101.18.39,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,35.297000000000025,26.968000000000075,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
4,10.101.18.40,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,34.047000000000025,26.952999999999975,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
5,10.101.18.41,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,25.25,26.952999999999975,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
6,10.101.18.42,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,28.875,26.687000000000126,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
7,10.101.18.43,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,31.202999999999975,26.7650000000001,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
8,10.101.18.44,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,30.327999999999975,26.608999999999924,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
9,10.101.18.45,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,28.875,26.547000000000025,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
10,10.101.18.46,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,28.65599999999995,26.797000000000025,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
11,10.101.18.47,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,30.09400000000005,26.672000000000025,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
12,10.101.18.48,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,29.46900000000005,27.077999999999975,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
13,10.101.18.49,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,27.578000000000202,26.687000000000126,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
14,10.101.18.50,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,27.922000000000025,26.78099999999995,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
15,10.101.18.51,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,27.53099999999995,26.937000000000126,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
16,10.101.18.52,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,25.78099999999995,26.843999999999824,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
