slot,ip,status,Auth,Lic,Usr,Net,IPMI,ID,LDAP,Cert,Boot,Reboot,bootstrap_ok,ribcl_seconds,redfish_seconds,errors
1,10.101.18.13,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,35.39100000000053,25.375,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
2,10.101.18.14,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,34.70300000000043,25.734999999999673,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
3,10.101.18.15,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,35.88999999999942,25.813000000000102,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
4,10.101.18.16,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,31.610000000000582,26.17200000000048,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
5,10.101.18.17,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,30.311999999999898,25.686999999999898,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
6,10.101.18.18,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,29.01599999999962,25.70300000000043,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
7,10.101.18.19,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,29.438000000000102,25.98400000000038,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
8,10.101.18.20,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,28.70299999999952,25.79700000000048,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
9,10.101.18.21,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,29.78099999999995,25.57800000000043,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
10,10.101.18.22,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,31.265000000000327,26.07800000000043,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
11,10.101.18.23,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,30.78099999999995,26.10900000000038,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
12,10.101.18.24,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,30.265000000000327,25.48400000000038,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
13,10.101.18.25,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,32.34400000000005,25.561999999999898,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
14,10.101.18.26,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,30.609999999999673,25.65599999999995,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
15,10.101.18.27,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,31.53099999999995,25.59400000000005,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
16,10.101.18.28,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,29.92200000000048,25.532000000000153,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
