slot,ip,status,Auth,Lic,Usr,Net,IPMI,ID,LDAP,Cert,Boot,Reboot,bootstrap_ok,ribcl_seconds,redfish_seconds,errors
1,10.101.18.13,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,33.46899999999914,3.79700000000048,
2,10.101.18.14,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,32.67200000000048,3.82799999999952,
3,10.101.18.15,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,29.561999999999898,4.156999999999243,
4,10.101.18.16,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,31.79700000000048,3.8590000000003783,
5,10.101.18.17,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,29.40600000000086,3.6409999999996217,
6,10.101.18.18,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,31.436999999999898,3.8439999999991414,
7,10.101.18.19,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,29.281999999999243,3.9840000000003783,
8,10.101.18.20,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,30.60900000000038,3.82799999999952,
9,10.101.18.21,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,26.484999999998763,3.92200000000048,
10,10.101.18.22,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,30.21899999999914,4.29700000000048,
11,10.101.18.23,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,27.859999999998763,3.8590000000003783,
12,10.101.18.24,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,30.40599999999904,3.860000000000582,
13,10.101.18.25,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,29.061999999999898,3.8910000000014406,
14,10.101.18.26,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,30.34400000000096,3.9689999999991414,
15,10.101.18.27,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,32.26500000000124,3.8439999999991414,
16,10.101.18.28,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,30.188000000000102,3.875,
