slot,ip,status,Auth,Lic,Usr,Net,IPMI,ID,LDAP,Cert,Boot,Reboot,bootstrap_ok,ribcl_seconds,redfish_seconds,errors
1,10.101.18.13,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,OK,SKIP,True,43.875,5.92200000000048,
2,10.101.18.14,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,OK,SKIP,True,44.53099999999995,4.719000000000051,
3,10.101.18.15,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,OK,SKIP,True,41.5,5.766000000000531,
4,10.101.18.16,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,OK,SKIP,True,42.92100000000028,4.592999999999847,
5,10.101.18.17,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,OK,SKIP,True,42.90599999999995,4.484000000000378,
6,10.101.18.18,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,OK,SKIP,True,41.21900000000005,4.67200000000048,
7,10.101.18.19,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,OK,SKIP,True,37.23500000000058,4.45299999999952,
8,10.101.18.20,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,OK,SKIP,True,42.14100000000053,4.608999999999469,
9,10.101.18.21,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,OK,SKIP,True,44.85900000000038,4.640999999999622,
10,10.101.18.22,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,OK,SKIP,True,44.35900000000038,5.25,
11,10.101.18.23,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,OK,SKIP,True,41.09400000000005,4.733999999999469,
12,10.101.18.24,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,OK,SKIP,True,45.0,4.625,
13,10.101.18.25,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,OK,SKIP,True,42.78200000000015,5.717999999999847,
14,10.101.18.26,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,OK,SKIP,True,40.98400000000038,4.625,
15,10.101.18.27,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,OK,SKIP,True,43.78099999999995,4.811999999999898,
16,10.101.18.28,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,OK,SKIP,True,41.29699999999957,4.75,
