slot,ip,status,Auth,Lic,Usr,Net,IPMI,ID,LDAP,Cert,Boot,Reboot,bootstrap_ok,ribcl_seconds,redfish_seconds,errors
1,10.101.18.13,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,22.78099999999995,25.46900000000005,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
2,10.101.18.14,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,24.718999999999824,25.60900000000015,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
3,10.101.18.15,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,23.906999999999925,25.281000000000176,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
4,10.101.18.16,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,23.141000000000076,25.5,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
5,10.101.18.17,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,18.047000000000025,25.516000000000076,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
6,10.101.18.18,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,19.047000000000025,25.641000000000076,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
7,10.101.18.19,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,19.375,26.0,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
8,10.101.18.20,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,19.5,26.125,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
9,10.101.18.21,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,16.5,25.516000000000076,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
10,10.101.18.22,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,FAIL,FAIL,FAIL,PENDING,PENDING,True,16.98400000000015,25.531000000000176,"[ID] 0X00D4: POST in progress, try command later. | [LDAP] 0X00D4: POST in progress, try command later. | [Cert] 0X00D4: POST in progress, try command later. | [Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed"
