slot,ip,status,Auth,Lic,Usr,Net,IPMI,ID,LDAP,Cert,Boot,Reboot,bootstrap_ok,ribcl_seconds,redfish_seconds,errors
1,10.101.18.13,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,37.40600000000086,167.96899999999914,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
2,10.101.18.14,Failed Tasks,FAIL,PENDING,PENDING,PENDING,PENDING,OK,OK,OK,PENDING,PENDING,True,35.67200000000048,169.45299999999952,[Auth] HTTP 400: iLO.0.10.LoginAttemptDelayed
3,10.101.18.15,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,36.39099999999962,3.7960000000002765,
4,10.101.18.16,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,35.15599999999904,4.515999999999622,
5,10.101.18.17,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,30.34399999999914,3.6710000000002765,
6,10.101.18.18,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,28.60900000000038,3.8909999999996217,
7,10.101.18.19,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,29.45299999999952,4.093000000000757,
8,10.101.18.20,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,30.875,3.8909999999996217,
9,10.101.18.21,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,32.23400000000038,4.625,
10,10.101.18.22,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,26.70299999999952,3.875,
11,10.101.18.23,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,28.813000000000102,3.875,
12,10.101.18.24,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,31.54700000000048,3.8590000000003783,
13,10.101.18.25,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,30.10900000000038,4.609999999998763,
14,10.101.18.26,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,31.64099999999962,3.92200000000048,
15,10.101.18.27,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,27.78099999999904,4.09400000000096,
16,10.101.18.28,Successful,OK,SKIP,SKIP,OK,SKIP,OK,OK,OK,SKIP,SKIP,True,31.186999999999898,3.8439999999991414,
